Match ID,Date,Team 1,Team 2,Team 1 xP,Team 2 xP,Team 1 xG,Team 2 xG,Team 1 Win %,Team 2 Win %,Draw %
14168817,27/01/2026,Darlington,Worksop,2.54184,0.33492,2.87642,0.90271,80.62,7.056,12.324
14168820,31/10/2025,Spennymoor,Buxton,1.2753,1.50963,3.00832,3.23248,35.341,43.152,21.507
14168821,31/01/2026,Chorley,Peterborough,1.46625,1.2429,1.28139,1.12903,39.18,31.735,29.085
14168822,31/01/2026,Chester,Radcliffe,2.21322,0.57657,2.33386,1.15282,66.767,12.212,21.021
14168823,31/01/2026,Merthyr,Darlington,0.41103,2.43819,0.9049,2.60736,8.675,76.247,15.078
14168824,31/01/2026,Curzon Ashton,Hereford,1.73535,0.98241,2.02353,1.54762,48.437,23.339,28.224
14168827,31/01/2026,Macclesfield,Bedford,1.38318,1.3053,1.2597,1.19344,35.722,33.126,31.152
14168829,31/01/2026,Scarborough,Worksop,2.36844,0.39249,1.36256,0.29838,70.979,5.114,23.907
14168830,31/10/2025,South Shields,Oxford,1.47981,1.19565,1.26023,1.13994,38.509,29.037,32.454
14168831,07/02/2026,Chester,Bedford,2.06604,0.69186,1.75445,0.86845,60.798,14.992,24.21
14168833,07/02/2026,Leamington,Oxford,1.43289,1.04448,0.47506,0.29312,30.342,17.395,52.263
14168834,07/02/2026,Scarborough,Marine,1.96007,0.81095,2.04773,1.23444,57.703,19.399,22.898
14168835,07/02/2026,Radcliffe,King's Lynn,0.44851,2.34601,0.57719,1.74626,8.101,71.351,20.548
14168836,07/02/2026,Chorley,Merthyr,2.61692,0.28136,3.73571,1.39315,83.84,5.988,10.172
14168837,07/02/2026,Peterborough,Curzon Ashton,2.30808,0.50166,2.03346,0.76531,70.594,10.38,19.026
14168839,10/02/2026,Hereford,Telford,0.23769,2.6253,0.35779,1.95368,3.356,82.943,13.701
14168840,07/02/2026,Southport,Darlington,1.52197,1.23403,2.09296,1.89967,42.599,33.001,24.4
14168841,10/02/2026,Southport,Chorley,0.91429,1.7968,0.88838,1.4554,20.846,50.263,28.891
14168842,07/02/2026,Worksop,Telford,1.46315,1.27403,1.62797,1.50038,40.011,33.707,26.282
14168843,10/02/2026,Kidderminster,Merthyr,1.56047,1.13774,1.33767,1.04711,41.956,27.865,30.179
14168844,10/02/2026,Chester,Alfreton,1.41729,1.29696,1.7167,1.62793,37.718,33.707,28.575
14168845,10/02/2026,Buxton,Peterborough,2.21895,0.51843,1.37225,0.37757,65.211,8.527,26.262
14168846,01/11/2025,Oxford,Bedford,1.36906,1.26457,0.78492,0.73982,33.423,29.94,36.637
14168847,10/02/2026,Curzon Ashton,Marine,2.0748,0.70545,1.97526,1.02012,61.835,16.19,21.975
14168852,10/02/2026,Macclesfield,Leamington,2.37197,0.40097,1.48818,0.28742,71.497,5.797,22.706
14168854,10/02/2026,South Shields,Scarborough,0.67016,2.05694,0.64365,1.39359,13.242,59.468,27.29
14168855,14/02/2026,Chorley,Radcliffe,2.36789,0.35396,1.12588,0.09443,69.658,2.527,27.815
14168856,14/02/2026,Chester,Buxton,2.12711,0.58085,1.30486,0.419,61.169,9.627,29.204
14168857,10/02/2026,Fylde,Spennymoor,2.66915,0.21023,2.27979,0.34611,84.951,2.987,12.062
14168859,14/02/2026,Leamington,Marine,0.49746,2.32647,1.00519,2.33584,10.713,71.68,17.607
14168861,14/02/2026,Bedford,Merthyr,0.01407,2.97723,0.61601,5.11255,0.179,98.951,0.87
14168862,14/02/2026,Spennymoor,Peterborough,1.03443,1.70385,1.25711,1.70219,25.757,48.071,26.172
14168863,14/02/2026,Curzon Ashton,Scarborough,1.07023,1.63375,1.11315,1.42484,25.807,44.591,29.602
14168864,14/02/2026,Hereford,Southport,1.6147,1.17811,3.14002,2.77804,46.917,32.364,20.719
14168865,21/02/2026,Alfreton,Merthyr,2.33652,0.51495,3.3082,1.71682,72.933,12.214,14.853
14168866,21/02/2026,Chorley,Bedford,1.35559,1.24417,0.67557,0.61923,31.845,28.131,40.024
14168867,14/02/2026,Oxford,Worksop,0.97387,1.7086,0.72074,1.13763,21.878,46.369,31.753
14168868,21/02/2026,Fylde,Buxton,1.32314,1.28117,0.67797,0.64296,30.915,29.516,39.569
14168870,21/02/2026,Hereford,Scarborough,1.33593,1.35282,1.22333,1.23039,34.156,34.719,31.125
14168871,21/02/2026,Kidderminster,Southport,2.45628,0.35997,1.76838,0.43918,75.751,5.874,18.375
14168872,21/02/2026,Macclesfield,King's Lynn,2.64438,0.23169,2.44662,0.51985,84.015,3.592,12.393
14168873,21/02/2026,Chester,Leamington,2.65351,0.20989,1.9464,0.22771,83.897,2.443,13.66
14168874,21/02/2026,Peterborough,Radcliffe,2.27546,0.55307,2.54738,1.18398,70.133,12.72,17.147
14168875,21/02/2026,Oxford,Marine,0.7957,1.97557,1.37402,2.13125,18.899,58.228,22.873
14168876,21/02/2026,Telford,South Shields,0.67796,2.12897,1.47664,2.61124,16.163,64.53,19.307
14168877,21/02/2026,Darlington,Spennymoor,2.51089,0.34492,2.72395,0.99628,78.89,6.691,14.419
14168878,24/02/2026,King's Lynn,Buxton,2.05381,0.69307,1.71027,0.9128,60.023,14.665,25.312
14168879,24/02/2026,Peterborough,Bedford,0.30378,2.57991,1.23215,3.16366,6.249,82.12,11.631
14168880,24/02/2026,Scarborough,Alfreton,0.92079,1.83801,2.07965,2.73013,22.653,53.227,24.12
14168881,24/02/2026,Curzon Ashton,Darlington,0.51793,2.31118,1.14542,2.54975,11.568,71.343,17.089
14168882,24/02/2026,Chester,Hereford,1.30249,1.46356,2.52595,2.65133,35.618,40.987,23.395
14168883,24/02/2026,Fylde,Macclesfield,1.95788,0.76337,1.34419,0.67988,55.971,16.154,27.875
14168884,24/02/2026,Marine,Kidderminster,0.31553,2.53502,0.57345,2.17723,5.536,79.519,14.945
14168885,24/02/2026,South Shields,Worksop,2.66571,0.22287,2.8669,0.83412,85.143,3.715,11.142
14168886,24/02/2026,Leamington,Merthyr,1.40055,1.35666,2.08628,2.0351,38.592,37.129,24.279
14168888,24/02/2026,Radcliffe,Southport,2.29772,0.49538,1.80181,0.5549,69.694,9.616,20.69
14168889,28/02/2026,Fylde,Curzon Ashton,2.43537,0.41001,2.48294,0.82155,76.025,8.513,15.462
14168890,24/02/2026,Chorley,Spennymoor,0.44587,2.35906,0.75199,1.99464,8.36,72.133,19.507
14168891,28/02/2026,Radcliffe,Telford,1.40725,1.30579,1.2357,1.20569,37.343,33.961,28.696
14168893,28/02/2026,Spennymoor,Chester,1.09522,1.63165,1.46323,1.83998,27.403,45.284,27.313
14168894,28/02/2026,King's Lynn,Oxford,0.78715,1.83001,0.35331,0.84006,13.477,48.239,38.284
14168895,28/02/2026,Bedford,Darlington,0.40261,2.4541,1.19176,2.88591,8.644,77.027,14.329
14168897,28/02/2026,Merthyr,Buxton,0.51581,2.33945,1.4719,3.14385,12.369,73.157,14.474
14168899,28/02/2026,Macclesfield,Scarborough,1.43532,1.33917,2.35289,2.27218,40.327,37.122,22.551
14168900,28/02/2026,South Shields,Peterborough,2.78743,0.13792,3.0731,0.61913,90.426,2.109,7.465
14168901,07/03/2026,Telford,Alfreton,2.48634,0.32835,1.86296,0.42476,76.701,4.768,18.531
14168902,28/02/2026,Worksop,Leamington,2.53626,0.24993,1.42061,0.05451,77.415,1.204,21.381
14168903,07/03/2026,Darlington,Chester,0.17196,2.75304,1.0524,3.59641,3.232,89.268,7.5
14168904,07/03/2026,Fylde,Leamington,0.68811,2.08161,1.17531,2.11367,15.261,61.711,23.028
14168906,07/03/2026,Radcliffe,Merthyr,0.40344,2.45856,1.48371,3.22251,8.848,77.352,13.8
14168907,07/03/2026,King's Lynn,Marine,2.91736,0.04477,2.42171,0.12008,95.983,0.23,3.787
14168908,07/03/2026,Chorley,Macclesfield,1.18865,1.46519,1.0053,1.23311,28.083,37.301,34.616
14168909,07/03/2026,Oxford,Scarborough,0.37784,2.47232,0.91057,2.61252,7.6,77.416,14.984
14168910,07/03/2026,Peterborough,Southport,2.06912,0.62114,1.13978,0.3686,58.646,10.38,30.974
14168912,07/03/2026,Spennymoor,Bedford,2.41434,0.41334,2.14907,0.69301,74.734,8.034,17.232
14168913,07/03/2026,Worksop,Hereford,1.05247,1.73833,1.97153,2.48945,28.109,50.971,20.92
14168914,10/03/2026,Telford,Fylde,0.41363,2.44817,1.12511,2.95581,9.181,76.999,13.82
14168915,10/03/2026,Alfreton,Radcliffe,1.99328,0.77237,2.26491,1.4323,58.631,17.934,23.435
